cluster,latitude,longitude,recency_danger_metric,danger_metric,danger_metric_trajectory,n_serious,n_fatal,danger_rank,gmaps_link
69,51.52217425,-0.10620704166666667,25.97693010682228,26,0.010389610389610393,23,1,1.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.52217425+-0.10620704166666667
53,51.49511255,-0.10073175000000001,22.74567904102103,22,-0.0090909090909091,19,1,2.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.49511255+-0.10073175000000001
235,51.504796444444445,-0.11365616666666667,21.13971935679059,18,0.09350649350649351,18,0,3.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.504796444444445+-0.11365616666666667
22,51.51912957142857,-0.1207527142857143,20.179125908854168,20,-0.007792207792207792,11,3,4.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.51912957142857+-0.1207527142857143
211,51.51409723076923,-0.10441784615384615,19.01339633480703,17,0.04155844155844157,11,2,5.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.51409723076923+-0.10441784615384615
311,51.52315025,-0.077548875,17.732214049329343,16,0.035064935064935056,16,0,6.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.52315025+-0.077548875
314,51.52958377777778,-0.014215444444444444,17.01473497257115,15,0.03766233766233767,6,3,7.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.52958377777778+-0.014215444444444444
427,51.515100800000006,-0.0720914,16.508553641272457,14,0.06233766233766234,8,2,8.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.515100800000006+-0.0720914
52,51.481844,-0.11244785714285714,15.756865438719199,16,-0.011688311688311692,13,1,9.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.481844+-0.11244785714285714
98,51.49465292857143,-0.1257549285714286,15.608140370719125,16,-0.015584415584415591,13,1,10.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.49465292857143+-0.1257549285714286
80,51.43259064285714,-0.16376035714285714,15.582309695047105,14,0.061038961038961045,14,0,11.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.43259064285714+-0.16376035714285714
161,51.513331,-0.08915118181818182,15.50444780233772,15,0.006493506493506495,9,2,12.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.513331+-0.08915118181818182
181,51.472114600000005,-0.20301146666666667,15.116128693966488,15,-0.011688311688311692,15,0,13.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.472114600000005+-0.20301146666666667
